"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)",value,n,kategori
Økte forventninger til samarbeid på tvers av sektorer,2.02,61,Egne arbeidsoppgaver
Sentralisering av offentlige tjenester,2.13,61,Egne arbeidsoppgaver
Flere internasjonale konflikter/kriger,1.51,61,Egne arbeidsoppgaver
Økte forventninger til at off. tjenester har effekt,2.18,61,Egne arbeidsoppgaver
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.1,61,Egne arbeidsoppgaver
Økt mangel på arbeidskraft,1.61,61,Egne arbeidsoppgaver
Økende politisk polarisering og konfliktnivå i Norge,1.41,61,Egne arbeidsoppgaver
Arbeids- og velferdsdirektoratet,NA,NA,Egne arbeidsoppgaver
Aldring av befolkningen,1.61,276,Egne arbeidsoppgaver
Økt arbeidsinnvandring,1.33,276,Egne arbeidsoppgaver
Flere flyktninger,1.31,276,Egne arbeidsoppgaver
Grønt skifte og klimautfordringer,1.43,276,Egne arbeidsoppgaver
Manglende etterspurt kompetanse blant arbeidssøkere,1.62,276,Egne arbeidsoppgaver
Økt omstillingstakt i arbeidslivet,1.91,276,Egne arbeidsoppgaver
Flere med fysiske og psykiske lidelser,1.56,276,Egne arbeidsoppgaver
Flere unge i utenforskap,1.52,276,Egne arbeidsoppgaver
Flere fattige,1.35,276,Egne arbeidsoppgaver
Innstramming/effektivisering av off. sektor,2.34,276,Egne arbeidsoppgaver
Lavere tillit til offentlig sektor,1.76,276,Egne arbeidsoppgaver
Økte forventninger til brukermedvirkning,2.04,276,Egne arbeidsoppgaver
Digitaliseringen av offentlige tjenester øker,2.59,276,Egne arbeidsoppgaver
Økte forventninger til samarbeid på tvers av sektorer,2.24,276,Egne arbeidsoppgaver
Sentralisering av offentlige tjenester,1.84,276,Egne arbeidsoppgaver
Flere internasjonale konflikter/kriger,1.44,276,Egne arbeidsoppgaver
Økte forventninger til at off. tjenester har effekt,2.3,276,Egne arbeidsoppgaver
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.01,276,Egne arbeidsoppgaver
Økt mangel på arbeidskraft,1.66,276,Egne arbeidsoppgaver
Økende politisk polarisering og konfliktnivå i Norge,1.52,276,Egne arbeidsoppgaver
Total,NA,NA,Egne arbeidsoppgaver
Aldring av befolkningen,1.89,3656,Egne arbeidsoppgaver
Økt arbeidsinnvandring,1.75,3656,Egne arbeidsoppgaver
Flere flyktninger,1.8,3656,Egne arbeidsoppgaver
Grønt skifte og klimautfordringer,1.61,3656,Egne arbeidsoppgaver
Manglende etterspurt kompetanse blant arbeidssøkere,2.07,3656,Egne arbeidsoppgaver
Økt omstillingstakt i arbeidslivet,2.25,3656,Egne arbeidsoppgaver
Flere med fysiske og psykiske lidelser,2.26,3656,Egne arbeidsoppgaver
Flere unge i utenforskap,2.15,3656,Egne arbeidsoppgaver
Flere fattige,1.94,3656,Egne arbeidsoppgaver
Innstramming/effektivisering av off. sektor,2.43,3656,Egne arbeidsoppgaver
Lavere tillit til offentlig sektor,1.89,3656,Egne arbeidsoppgaver
Økte forventninger til brukermedvirkning,2.21,3656,Egne arbeidsoppgaver
Digitaliseringen av offentlige tjenester øker,2.55,3656,Egne arbeidsoppgaver
Økte forventninger til samarbeid på tvers av sektorer,2.29,3656,Egne arbeidsoppgaver
Sentralisering av offentlige tjenester,2.04,3656,Egne arbeidsoppgaver
Flere internasjonale konflikter/kriger,1.68,3656,Egne arbeidsoppgaver
Økte forventninger til at off. tjenester har effekt,2.32,3656,Egne arbeidsoppgaver
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.04,3656,Egne arbeidsoppgaver
Økt mangel på arbeidskraft,2.03,3656,Egne arbeidsoppgaver
Økende politisk polarisering og konfliktnivå i Norge,1.64,3656,Egne arbeidsoppgaver
