name,value,n,index,kategori,lokasjon
Flere fattige,2.19,197,75,Egne arbeidsoppgave,NA
Innstramming/effektivisering av off. sektor,2.42,197,76,Egne arbeidsoppgave,NA
Lavere tillit til offentlig sektor,2.1800000000000002,197,77,Egne arbeidsoppgave,NA
Økte forventninger til brukermedvirkning,2.27,197,78,Egne arbeidsoppgave,NA
Digitaliseringen av offentlige tjenester øker,2.74,197,79,Egne arbeidsoppgave,NA
Økte forventninger til samarbeid på tvers av sektorer,2.15,197,80,Egne arbeidsoppgave,NA
Sentralisering av offentlige tjenester,2.06,197,81,Egne arbeidsoppgave,NA
Flere internasjonale konflikter/kriger,1.79,197,82,Egne arbeidsoppgave,NA
Økte forventninger til at off. tjenester har effekt,2.36,197,83,Egne arbeidsoppgave,NA
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.35,197,84,Egne arbeidsoppgave,NA
Økt mangel på arbeidskraft,1.98,197,85,Egne arbeidsoppgave,NA
Økende politisk polarisering og konfliktnivå i Norge,1.76,197,86,Egne arbeidsoppgave,NA
Aldring av befolkningen,1.74,345,88,Egne arbeidsoppgave,NA
Økt arbeidsinnvandring,1.77,345,89,Egne arbeidsoppgave,NA
Flere flyktninger,1.67,345,90,Egne arbeidsoppgave,NA
Grønt skifte og klimautfordringer,1.49,345,91,Egne arbeidsoppgave,NA
Manglende etterspurt kompetanse blant arbeidssøkere,1.68,345,92,Egne arbeidsoppgave,NA
Økt omstillingstakt i arbeidslivet,2.12,345,93,Egne arbeidsoppgave,NA
Flere med fysiske og psykiske lidelser,2.1800000000000002,345,94,Egne arbeidsoppgave,NA
Flere unge i utenforskap,1.93,345,95,Egne arbeidsoppgave,NA
Flere fattige,1.73,345,96,Egne arbeidsoppgave,NA
Innstramming/effektivisering av off. sektor,2.44,345,97,Egne arbeidsoppgave,NA
Lavere tillit til offentlig sektor,1.88,345,98,Egne arbeidsoppgave,NA
Økte forventninger til brukermedvirkning,2.12,345,99,Egne arbeidsoppgave,NA
Digitaliseringen av offentlige tjenester øker,2.61,345,100,Egne arbeidsoppgave,NA
Økte forventninger til samarbeid på tvers av sektorer,2.02,345,101,Egne arbeidsoppgave,NA
Sentralisering av offentlige tjenester,2.19,345,102,Egne arbeidsoppgave,NA
Flere internasjonale konflikter/kriger,1.59,345,103,Egne arbeidsoppgave,NA
Økte forventninger til at off. tjenester har effekt,2.21,345,104,Egne arbeidsoppgave,NA
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.0499999999999998,345,105,Egne arbeidsoppgave,NA
Økt mangel på arbeidskraft,1.7,345,106,Egne arbeidsoppgave,NA
Økende politisk polarisering og konfliktnivå i Norge,1.59,345,107,Egne arbeidsoppgave,NA
Aldring av befolkningen,2.0099999999999998,195,109,Egne arbeidsoppgave,NA
Økt arbeidsinnvandring,1.64,195,110,Egne arbeidsoppgave,NA
Flere flyktninger,1.64,195,111,Egne arbeidsoppgave,NA
Grønt skifte og klimautfordringer,1.53,195,112,Egne arbeidsoppgave,NA
Manglende etterspurt kompetanse blant arbeidssøkere,1.56,195,113,Egne arbeidsoppgave,NA
Økt omstillingstakt i arbeidslivet,2.0699999999999998,195,114,Egne arbeidsoppgave,NA
Flere med fysiske og psykiske lidelser,1.68,195,115,Egne arbeidsoppgave,NA
Flere unge i utenforskap,1.57,195,116,Egne arbeidsoppgave,NA
Flere fattige,1.65,195,117,Egne arbeidsoppgave,NA
Innstramming/effektivisering av off. sektor,2.5299999999999998,195,118,Egne arbeidsoppgave,NA
Lavere tillit til offentlig sektor,1.91,195,119,Egne arbeidsoppgave,NA
Økte forventninger til brukermedvirkning,2.2999999999999998,195,120,Egne arbeidsoppgave,NA
Digitaliseringen av offentlige tjenester øker,2.71,195,121,Egne arbeidsoppgave,NA
Økte forventninger til samarbeid på tvers av sektorer,1.94,195,122,Egne arbeidsoppgave,NA
Sentralisering av offentlige tjenester,2.2400000000000002,195,123,Egne arbeidsoppgave,NA
Flere internasjonale konflikter/kriger,1.61,195,124,Egne arbeidsoppgave,NA
Økte forventninger til at off. tjenester har effekt,2.2799999999999998,195,125,Egne arbeidsoppgave,NA
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.06,195,126,Egne arbeidsoppgave,NA
Økt mangel på arbeidskraft,1.58,195,127,Egne arbeidsoppgave,NA
Økende politisk polarisering og konfliktnivå i Norge,1.55,195,128,Egne arbeidsoppgave,NA
Aldring av befolkningen,1.59,58,130,Egne arbeidsoppgave,NA
Økt arbeidsinnvandring,1.52,58,131,Egne arbeidsoppgave,NA
Flere flyktninger,1.43,58,132,Egne arbeidsoppgave,NA
Grønt skifte og klimautfordringer,1.47,58,133,Egne arbeidsoppgave,NA
Manglende etterspurt kompetanse blant arbeidssøkere,1.66,58,134,Egne arbeidsoppgave,NA
Økt omstillingstakt i arbeidslivet,1.95,58,135,Egne arbeidsoppgave,NA
Flere med fysiske og psykiske lidelser,2.0699999999999998,58,136,Egne arbeidsoppgave,NA
Flere unge i utenforskap,1.86,58,137,Egne arbeidsoppgave,NA
Flere fattige,1.67,58,138,Egne arbeidsoppgave,NA
Innstramming/effektivisering av off. sektor,2.2599999999999998,58,139,Egne arbeidsoppgave,NA
Lavere tillit til offentlig sektor,2.12,58,140,Egne arbeidsoppgave,NA
Økte forventninger til brukermedvirkning,2.0499999999999998,58,141,Egne arbeidsoppgave,NA
Digitaliseringen av offentlige tjenester øker,2.52,58,142,Egne arbeidsoppgave,NA
Økte forventninger til samarbeid på tvers av sektorer,2.02,58,143,Egne arbeidsoppgave,NA
Sentralisering av offentlige tjenester,1.91,58,144,Egne arbeidsoppgave,NA
Flere internasjonale konflikter/kriger,1.34,58,145,Egne arbeidsoppgave,NA
Økte forventninger til at off. tjenester har effekt,2.33,58,146,Egne arbeidsoppgave,NA
Økte forv. til at det off. kan håndtere uforutsette situasjoner,1.95,58,147,Egne arbeidsoppgave,NA
Økt mangel på arbeidskraft,1.67,58,148,Egne arbeidsoppgave,NA
Økende politisk polarisering og konfliktnivå i Norge,1.43,58,149,Egne arbeidsoppgave,NA
Aldring av befolkningen,1.47,72,151,Egne arbeidsoppgave,NA
Økt arbeidsinnvandring,1.94,72,152,Egne arbeidsoppgave,NA
Flere flyktninger,1.71,72,153,Egne arbeidsoppgave,NA
Grønt skifte og klimautfordringer,1.46,72,154,Egne arbeidsoppgave,NA
Manglende etterspurt kompetanse blant arbeidssøkere,1.51,72,155,Egne arbeidsoppgave,NA
Økt omstillingstakt i arbeidslivet,1.92,72,156,Egne arbeidsoppgave,NA
Flere med fysiske og psykiske lidelser,1.53,72,157,Egne arbeidsoppgave,NA
Flere unge i utenforskap,1.47,72,158,Egne arbeidsoppgave,NA
Flere fattige,1.51,72,159,Egne arbeidsoppgave,NA
Innstramming/effektivisering av off. sektor,2.21,72,160,Egne arbeidsoppgave,NA
Lavere tillit til offentlig sektor,1.96,72,161,Egne arbeidsoppgave,NA
Økte forventninger til brukermedvirkning,1.78,72,162,Egne arbeidsoppgave,NA
Digitaliseringen av offentlige tjenester øker,2.56,72,163,Egne arbeidsoppgave,NA
Økte forventninger til samarbeid på tvers av sektorer,2.2599999999999998,72,164,Egne arbeidsoppgave,NA
Sentralisering av offentlige tjenester,1.81,72,165,Egne arbeidsoppgave,NA
Flere internasjonale konflikter/kriger,1.71,72,166,Egne arbeidsoppgave,NA
Økte forventninger til at off. tjenester har effekt,2.21,72,167,Egne arbeidsoppgave,NA
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.06,72,168,Egne arbeidsoppgave,NA
Økt mangel på arbeidskraft,1.54,72,169,Egne arbeidsoppgave,NA
Økende politisk polarisering og konfliktnivå i Norge,1.64,72,170,Egne arbeidsoppgave,NA
Aldring av befolkningen,1.69,61,172,Egne arbeidsoppgave,NA
Økt arbeidsinnvandring,1.48,61,173,Egne arbeidsoppgave,NA
Flere flyktninger,1.46,61,174,Egne arbeidsoppgave,NA
Grønt skifte og klimautfordringer,1.54,61,175,Egne arbeidsoppgave,NA
Manglende etterspurt kompetanse blant arbeidssøkere,1.59,61,176,Egne arbeidsoppgave,NA
Økt omstillingstakt i arbeidslivet,2.16,61,177,Egne arbeidsoppgave,NA
Flere med fysiske og psykiske lidelser,1.56,61,178,Egne arbeidsoppgave,NA
Flere unge i utenforskap,1.51,61,179,Egne arbeidsoppgave,NA
Flere fattige,1.52,61,180,Egne arbeidsoppgave,NA
Innstramming/effektivisering av off. sektor,2.34,61,181,Egne arbeidsoppgave,NA
Lavere tillit til offentlig sektor,1.72,61,182,Egne arbeidsoppgave,NA
Økte forventninger til brukermedvirkning,1.92,61,183,Egne arbeidsoppgave,NA
Digitaliseringen av offentlige tjenester øker,2.7,61,184,Egne arbeidsoppgave,NA
Økte forventninger til samarbeid på tvers av sektorer,2.02,61,185,Egne arbeidsoppgave,NA
Sentralisering av offentlige tjenester,2.13,61,186,Egne arbeidsoppgave,NA
Flere internasjonale konflikter/kriger,1.51,61,187,Egne arbeidsoppgave,NA
Økte forventninger til at off. tjenester har effekt,2.1800000000000002,61,188,Egne arbeidsoppgave,NA
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.1,61,189,Egne arbeidsoppgave,NA
Økt mangel på arbeidskraft,1.61,61,190,Egne arbeidsoppgave,NA
Økende politisk polarisering og konfliktnivå i Norge,1.41,61,191,Egne arbeidsoppgave,NA
Aldring av befolkningen,1.61,276,193,Egne arbeidsoppgave,NA
Økt arbeidsinnvandring,1.33,276,194,Egne arbeidsoppgave,NA
Flere flyktninger,1.31,276,195,Egne arbeidsoppgave,NA
Grønt skifte og klimautfordringer,1.43,276,196,Egne arbeidsoppgave,NA
Manglende etterspurt kompetanse blant arbeidssøkere,1.62,276,197,Egne arbeidsoppgave,NA
Økt omstillingstakt i arbeidslivet,1.91,276,198,Egne arbeidsoppgave,NA
Flere med fysiske og psykiske lidelser,1.56,276,199,Egne arbeidsoppgave,NA
Flere unge i utenforskap,1.52,276,200,Egne arbeidsoppgave,NA
Flere fattige,1.35,276,201,Egne arbeidsoppgave,NA
Innstramming/effektivisering av off. sektor,2.34,276,202,Egne arbeidsoppgave,NA
Lavere tillit til offentlig sektor,1.76,276,203,Egne arbeidsoppgave,NA
Økte forventninger til brukermedvirkning,2.04,276,204,Egne arbeidsoppgave,NA
Digitaliseringen av offentlige tjenester øker,2.59,276,205,Egne arbeidsoppgave,NA
Økte forventninger til samarbeid på tvers av sektorer,2.2400000000000002,276,206,Egne arbeidsoppgave,NA
Sentralisering av offentlige tjenester,1.84,276,207,Egne arbeidsoppgave,NA
Flere internasjonale konflikter/kriger,1.44,276,208,Egne arbeidsoppgave,NA
Økte forventninger til at off. tjenester har effekt,2.2999999999999998,276,209,Egne arbeidsoppgave,NA
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.0099999999999998,276,210,Egne arbeidsoppgave,NA
Økt mangel på arbeidskraft,1.66,276,211,Egne arbeidsoppgave,NA
Økende politisk polarisering og konfliktnivå i Norge,1.52,276,212,Egne arbeidsoppgave,NA
Aldring av befolkningen,1.89,3656,214,Egne arbeidsoppgave,NA
Økt arbeidsinnvandring,1.75,3656,215,Egne arbeidsoppgave,NA
Flere flyktninger,1.8,3656,216,Egne arbeidsoppgave,NA
Grønt skifte og klimautfordringer,1.61,3656,217,Egne arbeidsoppgave,NA
Manglende etterspurt kompetanse blant arbeidssøkere,2.0699999999999998,3656,218,Egne arbeidsoppgave,NA
Økt omstillingstakt i arbeidslivet,2.25,3656,219,Egne arbeidsoppgave,NA
Flere med fysiske og psykiske lidelser,2.2599999999999998,3656,220,Egne arbeidsoppgave,NA
Flere unge i utenforskap,2.15,3656,221,Egne arbeidsoppgave,NA
Flere fattige,1.94,3656,222,Egne arbeidsoppgave,NA
Innstramming/effektivisering av off. sektor,2.4300000000000002,3656,223,Egne arbeidsoppgave,NA
Lavere tillit til offentlig sektor,1.89,3656,224,Egne arbeidsoppgave,NA
Økte forventninger til brukermedvirkning,2.21,3656,225,Egne arbeidsoppgave,NA
Digitaliseringen av offentlige tjenester øker,2.5499999999999998,3656,226,Egne arbeidsoppgave,NA
Økte forventninger til samarbeid på tvers av sektorer,2.29,3656,227,Egne arbeidsoppgave,NA
Sentralisering av offentlige tjenester,2.04,3656,228,Egne arbeidsoppgave,NA
Flere internasjonale konflikter/kriger,1.68,3656,229,Egne arbeidsoppgave,NA
Økte forventninger til at off. tjenester har effekt,2.3199999999999998,3656,230,Egne arbeidsoppgave,NA
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.04,3656,231,Egne arbeidsoppgave,NA
Økt mangel på arbeidskraft,2.0299999999999998,3656,232,Egne arbeidsoppgave,NA
Økende politisk polarisering og konfliktnivå i Norge,1.64,3656,233,Egne arbeidsoppgave,NA
